,mapping_rate,reads,ERCC_content,MT_content,num_genes,pass_qc,day,cell_type,batch,bgplvm_2d_0,bgplvm_2d_1,pseudotime,assignment_prob_0,assignment_prob_1,branchtime,day_int,scaled_pseudotime
1771-026-190-A7,76.4715,3306445.0,700915.822085,12178.829081200001,927,True,2,CD4+ T cell,026-190,0.975429469492,-1.6930847099000002,-0.18356067876837606,0.4881790704322516,0.5118209295677484,0.72,1,0.32271057829203065
1771-026-190-A9,86.6002,2347693.0,206058.467672,22452.5675305,2445,True,2,CD4+ T cell,026-190,-1.3607973433899998,-0.5429103412399999,0.8179103321278244,0.5552461029667587,0.4447538970332412,0.72,1,0.5965919475372605
1771-026-190-B1,75.6002,4838795.0,727724.176829,77359.82606869999,730,True,2,CD4+ T cell,026-190,1.4034650713699999,-0.310206535984,-0.6907245840125131,0.499916404534714,0.500083595465286,0.72,1,0.18401186081670365
1771-026-190-B11,68.2906,3064294.0,293321.178343,55269.9827161,2231,True,2,CD4+ T cell,026-190,-0.795662901664,-1.3111008155700001,0.40594069636110375,0.604485592235078,0.3955144077649221,0.72,1,0.4839268711609832
1771-026-190-B12,58.3735,4241589.0,793489.792192,63496.269249000004,838,True,2,CD4+ T cell,026-190,1.3810793637,-0.741200484627,-0.515346091561403,0.5011117513705658,0.4988882486294343,0.72,1,0.23197420932811025
1771-026-190-B2,70.1567,3958836.0,768428.8922,14155.6593546,769,True,2,CD4+ T cell,026-190,1.40854929959,-0.9784086104180001,-0.4422641550922703,0.500937923979246,0.499062076020754,0.72,1,0.2519605899716669
1771-026-190-B6,69.3443,4100696.0,750590.4515689998,50197.7071791,975,True,2,CD4+ T cell,026-190,1.24275244474,-0.14652457904400001,-0.7760108439043994,0.5005527284185393,0.4994472715814608,0.72,1,0.16068785304927824
1771-026-190-B7,85.1109,4148548.0,492165.35883999994,82589.3806585,1213,True,2,CD4+ T cell,026-190,0.482114467064,-0.132336561471,-0.9803388652730112,0.5064058837525403,0.4935941162474598,0.72,1,0.10480841404532268
1771-026-190-C11,64.4025,3015691.0,413858.87776199996,45532.0569966,1703,True,2,CD4+ T cell,026-190,-0.17250782246100002,-1.94570076523,0.16241667897092385,0.4812263914182672,0.5187736085817327,0.72,1,0.41732814728255974
1771-026-190-C2,89.6412,4826555.0,544599.494141,907.301895808,985,True,2,CD4+ T cell,026-190,0.463060324472,-1.6078688945200001,-0.05181156787629574,0.5196046075456158,0.4803953924543843,0.72,1,0.35874120373736823
1771-026-190-C5,88.7242,4087538.0,496884.016522,13690.2034838,1305,True,2,CD4+ T cell,026-190,0.10582112942199999,-1.98198453324,0.08288855909035535,0.475428271560276,0.524571728439724,0.72,1,0.39557887033953854
1771-026-190-C6,75.2281,3954796.0,424596.683427,32141.6193452,1661,True,2,CD4+ T cell,026-190,-0.141240576023,-1.7253697131999999,0.15230827051313595,0.5288823729495626,0.4711176270504374,0.72,1,0.4145637090520098
1771-026-190-C8,55.9011,4001204.0,677391.374087,72803.47539510003,992,True,2,CD4+ T cell,026-190,1.08035029176,-0.6064809187169999,-0.5238026285228645,0.5015719069698698,0.4984280930301302,0.72,1,0.2296615233922434
1771-026-190-C9,88.6575,3712783.0,773441.06792,6342.07752712,623,True,2,CD4+ T cell,026-190,1.26624572965,-0.901561172028,-0.44118554744514815,0.5026312487743511,0.4973687512256491,0.72,1,0.25225556659710896
1771-026-190-D1,59.6279,4639784.0,713205.97566,50434.5401324,978,True,2,CD4+ T cell,026-190,1.23649969111,-0.730225174173,-0.4974105965202194,0.5018756198420662,0.4981243801579338,0.72,1,0.23687919198514648
1771-026-190-D10,71.9286,2680255.0,570689.015807,82620.7387464,1000,True,2,CD4+ T cell,026-190,0.964787982074,-0.363552731337,-0.6455962792773178,0.4993735936390892,0.5006264063609107,0.72,1,0.1963535080117939
